1000,DSA,2026-01-05,Dark Chocolate
250,Food,2025-01-05,Lunch
1200,Rent,2025-01-01,January Rent
300,Transport,2025-01-10,Bus Pass
500,Food,2025-02-02,Grocery
800,Shopping,2025-02-15,Clothes
1500,DSA,2025-03-05,Smartphone
200,Entertainment,2025-03-10,Movie Tickets
400,Food,2025-04-01,Dinner
700,Rent,2025-04-01,April Rent
600,Transport,2025-04-12,Taxi
350,Food,2025-01-12,Breakfast
450,Food,2025-01-15,Snacks
900,Shopping,2025-01-18,Shoes
120,Transport,2025-01-20,Auto Fare
200,Entertainment,2025-01-22,Streaming Subscription
600,Food,2025-01-25,Restaurant
300,Education,2025-01-28,Books
150,Food,2025-02-03,Tea & Snacks
1300,Rent,2025-02-01,February Rent
400,Transport,2025-02-05,Cab Ride
700,Shopping,2025-02-08,Accessories
250,Entertainment,2025-02-10,Concert
500,Food,2025-02-12,Grocery
1000,Education,2025-02-15,Online Course
350,Food,2025-02-18,Lunch
200,Transport,2025-02-20,Bus Tickets
600,Shopping,2025-02-22,Clothing
300,Food,2025-02-25,Dinner
1400,Rent,2025-03-01,March Rent
450,Transport,2025-03-03,Metro Card
800,Shopping,2025-03-06,Backpack
200,Entertainment,2025-03-08,Movie
600,Food,2025-03-10,Grocery
900,Education,2025-03-12,Workshop Fee
350,Food,2025-03-15,Lunch
150,Transport,2025-03-18,Auto Fare
500,Shopping,2025-03-20,Headphones
250,Food,2025-03-22,Snacks
1300,Rent,2025-04-01,April Rent
500,Transport,2025-04-03,Cab Ride
750,Shopping,2025-04-05,Shoes
300,Entertainment,2025-04-07,Game Pass
600,Food,2025-04-10,Grocery
1000,Education,2025-04-12,Certification Fee
400,Food,2025-04-14,Lunch
200,Transport,2025-04-16,Bus Fare
550,Shopping,2025-04-18,Jacket
300,Food,2025-04-20,Dinner
1400,Rent,2025-05-01,May Rent
450,Transport,2025-05-03,Metro Recharge
800,Shopping,2025-05-05,Clothes
250,Entertainment,2025-05-07,Movie
650,Food,2025-05-10,Grocery
900,Education,2025-05-12,Online Course
350,Food,2025-05-15,Lunch
180,Transport,2025-05-18,Auto Fare
500,Shopping,2025-05-20,Sandals
300,Food,2025-05-22,Snacks
1450,Rent,2025-06-01,June Rent
480,Transport,2025-06-03,Cab Ride
850,Shopping,2025-06-05,Watch
300,Entertainment,2025-06-07,Concert
700,Food,2025-06-10,Grocery
1100,Education,2025-06-12,Training Program
420,Food,2025-06-15,Lunch
200,Transport,2025-06-18,Bus Fare
600,Shopping,2025-06-20,Bag
350,Food,2025-06-22,Dinner
1500,Rent,2025-07-01,July Rent
500,Transport,2025-07-03,Cab Ride
900,Shopping,2025-07-05,Shoes
300,Entertainment,2025-07-07,Movie
750,Food,2025-07-10,Grocery
1200,Education,2025-07-12,Certification
450,Food,2025-07-15,Lunch
220,Transport,2025-07-18,Auto Fare
650,Shopping,2025-07-20,Headset
400,Food,2025-07-22,Dinner
1600,Rent,2025-08-01,August Rent
520,Transport,2025-08-03,Metro Card
950,Shopping,2025-08-05,Clothes
280,Entertainment,2025-08-07,Game Pass
800,Food,2025-08-10,Grocery
1300,Education,2025-08-12,Online Course
370,Food,2025-08-15,Lunch
210,Transport,2025-08-18,Bus Tickets
700,Shopping,2025-08-20,Jacket
320,Food,2025-08-22,Snacks
1100,Rent,2025-09-01,September Rent
480,Transport,2025-09-03,Cab Ride
850,Shopping,2025-09-05,Watch
290,Entertainment,2025-09-07,Concert
750,Food,2025-09-10,Grocery
1200,Education,2025-09-12,Training Program
400,Food,2025-09-15,Lunch
220,Transport,2025-09-18,Bus Fare
650,Shopping,2025-09-20,Bag
330,Food,2025-09-22,Dinner
1550,Rent,2025-10-01,October Rent
